az;el;distance
62.00;9.00;87
64.00;9.00;85
66.00;9.00;84
68.00;9.00;83
70.00;9.00;82
72.00;9.00;83
74.00;9.00;81
76.00;9.00;82
78.00;9.00;76
80.00;9.00;74
82.00;9.00;72
84.00;9.00;73
86.00;9.00;80
88.00;9.00;84
90.00;9.00;85
92.00;9.00;81
94.00;9.00;83
96.00;9.00;82
98.00;9.00;82
100.00;9.00;84
102.00;9.00;83
104.00;9.00;85
106.00;9.00;88
108.00;9.00;86
110.00;9.00;88
112.00;9.00;89
114.00;9.00;86
116.00;9.00;86
118.00;9.00;88
120.00;9.00;91
122.00;9.00;91
124.00;9.00;90
126.00;9.00;93
128.00;9.00;93
130.00;9.00;96
132.00;9.00;1
134.00;9.00;1
136.00;9.00;74
138.00;9.00;80
140.00;9.00;81
142.00;9.00;84
144.00;9.00;84
146.00;9.00;84
148.00;9.00;97
150.00;9.00;102
152.00;9.00;94
154.00;9.00;108
156.00;9.00;109
158.00;9.00;117
160.00;9.00;130
162.00;9.00;140
164.00;9.00;156
166.00;9.00;153
168.00;9.00;151
170.00;9.00;150
172.00;9.00;150
174.00;9.00;152
176.00;9.00;147
178.00;9.00;145
180.00;9.00;145
0.00;10.00;23
2.00;10.00;27
4.00;10.00;27
6.00;10.00;32
8.00;10.00;30
10.00;10.00;38
12.00;10.00;30
14.00;10.00;38
16.00;10.00;35
18.00;10.00;44
20.00;10.00;40
22.00;10.00;42
24.00;10.00;43
26.00;10.00;43
28.00;10.00;40
30.00;10.00;34
32.00;10.00;38
34.00;10.00;38
36.00;10.00;35
38.00;10.00;37
40.00;10.00;38
42.00;10.00;39
44.00;10.00;48
46.00;10.00;45
48.00;10.00;47
50.00;10.00;49
52.00;10.00;58
54.00;10.00;57
56.00;10.00;72
58.00;10.00;89
60.00;10.00;88
62.00;10.00;86
64.00;10.00;85
66.00;10.00;85
68.00;10.00;84
70.00;10.00;82
72.00;10.00;83
74.00;10.00;82
76.00;10.00;81
78.00;10.00;76
80.00;10.00;75
82.00;10.00;73
84.00;10.00;78
86.00;10.00;80
88.00;10.00;86
90.00;10.00;82
92.00;10.00;83
94.00;10.00;86
96.00;10.00;83
98.00;10.00;85
100.00;10.00;84
102.00;10.00;84
104.00;10.00;85
106.00;10.00;85
108.00;10.00;89
110.00;10.00;86
112.00;10.00;89
114.00;10.00;87
116.00;10.00;88
118.00;10.00;89
120.00;10.00;90
122.00;10.00;92
124.00;10.00;92
126.00;10.00;97
128.00;10.00;95
130.00;10.00;99
132.00;10.00;1
134.00;10.00;1
136.00;10.00;83
138.00;10.00;83
140.00;10.00;85
142.00;10.00;85
144.00;10.00;91
146.00;10.00;88
148.00;10.00;95
150.00;10.00;102
152.00;10.00;108
154.00;10.00;112
156.00;10.00;111
158.00;10.00;116
160.00;10.00;129
162.00;10.00;124
164.00;10.00;161
166.00;10.00;151
168.00;10.00;155
170.00;10.00;152
172.00;10.00;153
174.00;10.00;152
176.00;10.00;149
178.00;10.00;150
180.00;10.00;148
